agent_id,agent_name,team
AG001,Agent_AG001,Billing
AG002,Agent_AG002,Tier 1
AG003,Agent_AG003,Billing
AG004,Agent_AG004,Billing
AG005,Agent_AG005,Billing
AG006,Agent_AG006,Tier 1
AG007,Agent_AG007,Tier 2
AG008,Agent_AG008,Tier 2
AG009,Agent_AG009,Billing
AG010,Agent_AG010,Billing
AG011,Agent_AG011,Tier 2
AG012,Agent_AG012,Tier 1
AG013,Agent_AG013,Tier 2
AG014,Agent_AG014,Billing
AG015,Agent_AG015,Escalations
AG016,Agent_AG016,Tier 2
AG017,Agent_AG017,Billing
AG018,Agent_AG018,Escalations
AG019,Agent_AG019,Tier 1
AG020,Agent_AG020,Tier 2
AG021,Agent_AG021,Billing
AG022,Agent_AG022,Tier 2
AG023,Agent_AG023,Escalations
AG024,Agent_AG024,Escalations
AG025,Agent_AG025,Escalations
AG026,Agent_AG026,Escalations
AG027,Agent_AG027,Tier 1
AG028,Agent_AG028,Billing
AG029,Agent_AG029,Billing
AG030,Agent_AG030,Billing
AG031,Agent_AG031,Tier 2
AG032,Agent_AG032,Escalations
AG033,Agent_AG033,Tier 2
AG034,Agent_AG034,Tier 2
AG035,Agent_AG035,Tier 1
AG036,Agent_AG036,Escalations
AG037,Agent_AG037,Tier 2
AG038,Agent_AG038,Tier 2
AG039,Agent_AG039,Tier 2
AG040,Agent_AG040,Tier 1
