case_id,created_at,closed_at,customer_id,agent_id,category,priority,status
C0001,2025-12-21T11:20:15.144462,2025-12-22T20:20:15.144462,CU089,AG011,Technical,Medium,Closed
C0002,2025-05-14T00:33:49.144462,,CU034,AG036,Account,Medium,Open
C0003,2025-09-10T14:50:34.144462,2025-09-17T03:50:34.144462,CU037,AG033,Other,Urgent,On Hold
C0004,2024-09-03T22:47:55.144462,2024-09-11T19:47:55.144462,CU087,AG024,Account,Low,Closed
C0005,2025-04-14T14:29:50.144462,2025-04-16T20:29:50.144462,CU019,AG038,Account,Low,Open
C0006,2025-03-08T19:14:07.144462,2025-03-17T07:14:07.144462,CU089,AG037,Technical,Urgent,On Hold
C0007,2025-12-04T22:14:56.144462,2025-12-14T02:14:56.144462,CU022,AG005,Billing,Low,Closed
C0008,2026-01-09T03:32:50.144462,2026-01-16T18:32:50.144462,CU033,AG015,Technical,Low,In Progress
C0009,2026-01-15T02:50:19.144462,2026-01-22T02:50:19.144462,CU108,AG017,Technical,High,Open
C0010,2025-12-01T06:45:30.144462,,CU012,AG039,Other,Urgent,On Hold
C0011,2025-03-15T02:52:08.144462,2025-03-15T05:52:08.144462,CU082,AG022,Account,High,Closed
C0012,2025-10-11T10:21:40.144462,2025-10-15T17:21:40.144462,CU009,AG021,Other,Urgent,Open
C0013,2025-09-08T00:04:48.144462,2025-09-13T19:04:48.144462,CU137,AG039,Technical,Medium,Closed
C0014,2024-12-14T18:52:45.144462,2024-12-17T22:52:45.144462,CU106,AG034,Technical,Medium,Closed
C0015,2025-04-05T19:21:15.144462,2025-04-07T08:21:15.144462,CU029,AG011,Account,Medium,In Progress
C0016,2025-09-05T09:40:27.144462,2025-09-07T10:40:27.144462,CU113,AG039,Other,Low,Closed
C0017,2025-09-24T10:52:43.144462,2025-09-28T18:52:43.144462,CU140,AG031,Billing,High,In Progress
C0018,2024-10-03T02:39:32.144462,2024-10-06T07:39:32.144462,CU060,AG019,Billing,High,Open
C0019,2024-12-28T07:51:50.144462,2025-01-01T07:51:50.144462,CU084,AG025,Technical,Urgent,In Progress
C0020,2025-03-18T11:53:51.144462,2025-03-27T13:53:51.144462,CU075,AG026,Technical,Medium,Open
C0021,2024-12-17T13:58:06.144462,2024-12-23T22:58:06.144462,CU122,AG013,Other,High,Closed
C0022,2025-10-14T02:37:04.144462,,CU109,AG022,Account,Medium,Closed
C0023,2025-10-11T21:47:07.144462,2025-10-19T10:47:07.144462,CU085,AG027,Account,Low,On Hold
C0024,2025-05-31T19:59:14.144462,,CU045,AG014,Billing,Low,On Hold
C0025,2025-10-03T23:44:35.144462,2025-10-12T08:44:35.144462,CU130,AG017,Account,Medium,Closed
C0026,2024-12-20T05:50:36.144462,2024-12-29T08:50:36.144462,CU040,AG017,Technical,Urgent,Open
C0027,2025-02-06T04:20:35.144462,2025-02-14T16:20:35.144462,CU047,AG008,Technical,High,Open
C0028,2025-12-09T22:46:18.144462,2025-12-13T11:46:18.144462,CU004,AG037,Billing,Urgent,Closed
C0029,2025-08-27T13:49:01.144462,2025-08-27T16:49:01.144462,CU063,AG038,Account,High,On Hold
C0030,2024-08-29T20:16:25.144462,2024-09-04T09:16:25.144462,CU010,AG027,Technical,Medium,In Progress
C0031,2025-03-05T17:23:28.144462,,CU141,AG003,Billing,Urgent,On Hold
C0032,2025-08-09T16:02:29.144462,2025-08-11T11:02:29.144462,CU065,AG033,Billing,High,On Hold
C0033,2025-07-06T11:20:00.144462,2025-07-09T17:20:00.144462,CU105,AG021,Account,Urgent,Closed
C0034,2026-01-18T21:07:00.144462,2026-01-23T19:07:00.144462,CU041,AG004,Billing,High,In Progress
