customer_id,customer_name,region,signup_date
CU001,Customer_CU001,APAC,2025-12-26
CU002,Customer_CU002,LATAM,2024-07-13
CU003,Customer_CU003,Europe,2025-07-11
CU004,Customer_CU004,APAC,2023-06-23
CU005,Customer_CU005,APAC,2025-10-31
CU006,Customer_CU006,APAC,2025-02-11
CU007,Customer_CU007,LATAM,2024-02-07
CU008,Customer_CU008,Europe,2023-07-29
CU009,Customer_CU009,LATAM,2024-08-07
CU010,Customer_CU010,APAC,2023-06-19
CU011,Customer_CU011,Europe,2024-01-03
CU012,Customer_CU012,LATAM,2022-09-25
CU013,Customer_CU013,North America,2024-07-22
CU014,Customer_CU014,LATAM,2023-03-21
CU015,Customer_CU015,APAC,2025-08-26
CU016,Customer_CU016,North America,2025-12-07
CU017,Customer_CU017,North America,2022-02-17
CU018,Customer_CU018,LATAM,2021-09-22
CU019,Customer_CU019,LATAM,2022-10-13
CU020,Customer_CU020,LATAM,2024-10-31
CU021,Customer_CU021,Europe,2023-12-12
CU022,Customer_CU022,APAC,2022-03-02
CU023,Customer_CU023,LATAM,2023-07-27
CU024,Customer_CU024,North America,2022-01-14
CU025,Customer_CU025,APAC,2024-01-23
CU026,Customer_CU026,North America,2025-09-09
CU027,Customer_CU027,LATAM,2024-04-04
CU028,Customer_CU028,APAC,2023-04-20
CU029,Customer_CU029,North America,2025-02-02
CU030,Customer_CU030,APAC,2024-01-05
CU031,Customer_CU031,LATAM,2022-12-14
CU032,Customer_CU032,Europe,2022-07-05
CU033,Customer_CU033,APAC,2022-01-07
CU034,Customer_CU034,LATAM,2025-12-22
CU035,Customer_CU035,Europe,2023-09-03
CU036,Customer_CU036,North America,2022-02-15
CU037,Customer_CU037,LATAM,2021-08-15
CU038,Customer_CU038,APAC,2024-12-30
CU039,Customer_CU039,North America,2023-04-09
CU040,Customer_CU040,North America,2021-06-20
CU041,Customer_CU041,APAC,2024-07-18
CU042,Customer_CU042,APAC,2022-10-01
CU043,Customer_CU043,LATAM,2025-09-01
CU044,Customer_CU044,Europe,2024-06-04
CU045,Customer_CU045,APAC,2024-11-23
CU046,Customer_CU046,North America,2025-08-23
CU047,Customer_CU047,LATAM,2022-11-04
CU048,Customer_CU048,LATAM,2025-04-23
CU049,Customer_CU049,North America,2025-06-25
CU050,Customer_CU050,LATAM,2021-06-25
CU051,Customer_CU051,APAC,2026-01-01
CU052,Customer_CU052,APAC,2021-05-01
CU053,Customer_CU053,APAC,2022-10-27
